Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"14 W COLD-SPRING LN PS BALTIMORE MD 21210"
"Account Number",5522061000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732483-1,2024-01-02,16:30,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,16:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,17:00,29.46,kWh
"Electric Usage",G159732483-1,2024-01-02,17:15,29.73,kWh
"Electric Usage",G159732483-1,2024-01-02,17:30,29.46,kWh
"Electric Usage",G159732483-1,2024-01-02,17:45,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,18:00,29.01,kWh
"Electric Usage",G159732483-1,2024-01-02,18:15,29.25,kWh
"Electric Usage",G159732483-1,2024-01-02,18:30,29.79,kWh
"Electric Usage",G159732483-1,2024-01-02,18:45,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,19:00,29.64,kWh
"Electric Usage",G159732483-1,2024-01-02,19:15,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,19:30,29.88,kWh
"Electric Usage",G159732483-1,2024-01-02,19:45,29.28,kWh
"Electric Usage",G159732483-1,2024-01-02,20:00,29.52,kWh
"Electric Usage",G159732483-1,2024-01-02,20:15,30.18,kWh
"Electric Usage",G159732483-1,2024-01-02,20:30,29.19,kWh
"Electric Usage",G159732483-1,2024-01-02,20:45,30.18,kWh
"Electric Usage",G159732483-1,2024-01-02,21:00,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,21:15,29.52,kWh
"Electric Usage",G159732483-1,2024-01-02,21:30,30.15,kWh
"Electric Usage",G159732483-1,2024-01-02,21:45,29.13,kWh
"Electric Usage",G159732483-1,2024-01-02,22:00,30.03,kWh
"Electric Usage",G159732483-1,2024-01-02,22:15,29.61,kWh
"Electric Usage",G159732483-1,2024-01-02,22:30,29.97,kWh
"Electric Usage",G159732483-1,2024-01-02,22:45,29.4,kWh
"Electric Usage",G159732483-1,2024-01-02,23:00,29.34,kWh
"Electric Usage",G159732483-1,2024-01-02,23:15,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,23:30,29.37,kWh
"Electric Usage",G159732483-1,2024-01-02,23:45,29.85,kWh
"Electric Usage",G159732483-1,2024-01-03,00:00,29.37,kWh
"Electric Usage",G159732483-1,2024-01-03,00:15,28.89,kWh
"Electric Usage",G159732483-1,2024-01-03,00:30,29.01,kWh
"Electric Usage",G159732483-1,2024-01-03,00:45,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,01:00,28.89,kWh
"Electric Usage",G159732483-1,2024-01-03,01:15,28.71,kWh
"Electric Usage",G159732483-1,2024-01-03,01:30,29.16,kWh
"Electric Usage",G159732483-1,2024-01-03,01:45,28.53,kWh
"Electric Usage",G159732483-1,2024-01-03,02:00,29.52,kWh
"Electric Usage",G159732483-1,2024-01-03,02:15,28.35,kWh
"Electric Usage",G159732483-1,2024-01-03,02:30,29.22,kWh
"Electric Usage",G159732483-1,2024-01-03,02:45,28.62,kWh
"Electric Usage",G159732483-1,2024-01-03,03:00,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,03:15,29.28,kWh
"Electric Usage",G159732483-1,2024-01-03,03:30,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,03:45,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,04:00,29.07,kWh
"Electric Usage",G159732483-1,2024-01-03,04:15,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,04:30,28.71,kWh
"Electric Usage",G159732483-1,2024-01-03,04:45,29.34,kWh
"Electric Usage",G159732483-1,2024-01-03,05:00,28.38,kWh
"Electric Usage",G159732483-1,2024-01-03,05:15,29.13,kWh
"Electric Usage",G159732483-1,2024-01-03,05:30,28.83,kWh
"Electric Usage",G159732483-1,2024-01-03,05:45,29.58,kWh
"Electric Usage",G159732483-1,2024-01-03,06:00,28.92,kWh
"Electric Usage",G159732483-1,2024-01-03,06:15,29.73,kWh
"Electric Usage",G159732483-1,2024-01-03,06:30,28.41,kWh
"Electric Usage",G159732483-1,2024-01-03,06:45,29.25,kWh
"Electric Usage",G159732483-1,2024-01-03,07:00,29.22,kWh
"Electric Usage",G159732483-1,2024-01-03,07:15,29.91,kWh
"Electric Usage",G159732483-1,2024-01-03,07:30,29.73,kWh
"Electric Usage",G159732483-1,2024-01-03,07:45,29.4,kWh
"Electric Usage",G159732483-1,2024-01-03,08:00,29.01,kWh
"Electric Usage",G159732483-1,2024-01-03,08:15,29.01,kWh
"Electric Usage",G159732483-1,2024-01-03,08:30,29.82,kWh
"Electric Usage",G159732483-1,2024-01-03,08:45,29.1,kWh
"Electric Usage",G159732483-1,2024-01-03,09:00,30.12,kWh
"Electric Usage",G159732483-1,2024-01-03,09:15,27.78,kWh
"Electric Usage",G159732483-1,2024-01-03,09:30,28.35,kWh
"Electric Usage",G159732483-1,2024-01-03,09:45,28.59,kWh
"Electric Usage",G159732483-1,2024-01-03,10:00,28.77,kWh
"Electric Usage",G159732483-1,2024-01-03,10:15,28.62,kWh
"Electric Usage",G159732483-1,2024-01-03,10:30,28.59,kWh
"Electric Usage",G159732483-1,2024-01-03,10:45,29.04,kWh
"Electric Usage",G159732483-1,2024-01-03,11:00,28.26,kWh
"Electric Usage",G159732483-1,2024-01-03,11:15,28.47,kWh
"Electric Usage",G159732483-1,2024-01-03,11:30,28.74,kWh
"Electric Usage",G159732483-1,2024-01-03,11:45,28.98,kWh
"Electric Usage",G159732483-1,2024-01-03,12:00,28.89,kWh
"Electric Usage",G159732483-1,2024-01-03,12:15,28.23,kWh
"Electric Usage",G159732483-1,2024-01-03,12:30,28.89,kWh
"Electric Usage",G159732483-1,2024-01-03,12:45,28.17,kWh
"Electric Usage",G159732483-1,2024-01-03,13:00,27.69,kWh
"Electric Usage",G159732483-1,2024-01-03,13:15,28.77,kWh
"Electric Usage",G159732483-1,2024-01-03,13:30,27.84,kWh
"Electric Usage",G159732483-1,2024-01-03,13:45,27.81,kWh
"Electric Usage",G159732483-1,2024-01-03,14:00,28.53,kWh
"Electric Usage",G159732483-1,2024-01-03,14:15,27.63,kWh
"Electric Usage",G159732483-1,2024-01-03,14:30,29.04,kWh
"Electric Usage",G159732483-1,2024-01-03,14:45,28.38,kWh
"Electric Usage",G159732483-1,2024-01-03,15:00,28.56,kWh
"Electric Usage",G159732483-1,2024-01-03,15:15,28.26,kWh
"Electric Usage",G159732483-1,2024-01-03,15:30,28.62,kWh
"Electric Usage",G159732483-1,2024-01-03,15:45,27.57,kWh
"Electric Usage",G159732483-1,2024-01-03,16:00,27.63,kWh
"Electric Usage",G159732483-1,2024-01-03,16:15,27.45,kWh
"Electric Usage",G159732483-1,2024-01-03,16:30,29.22,kWh
"Electric Usage",G159732483-1,2024-01-03,16:45,28.83,kWh
"Electric Usage",G159732483-1,2024-01-03,17:00,28.83,kWh
"Electric Usage",G159732483-1,2024-01-03,17:15,29.19,kWh
"Electric Usage",G159732483-1,2024-01-03,17:30,28.5,kWh
"Electric Usage",G159732483-1,2024-01-03,17:45,29.07,kWh
