Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-02,13:45,36.34,kWh
"Electric Usage",G159732081-1,2024-01-02,14:00,36.59,kWh
"Electric Usage",G159732081-1,2024-01-02,14:15,36.86,kWh
"Electric Usage",G159732081-1,2024-01-02,14:30,33.61,kWh
"Electric Usage",G159732081-1,2024-01-02,14:45,31.35,kWh
"Electric Usage",G159732081-1,2024-01-02,15:00,31.47,kWh
"Electric Usage",G159732081-1,2024-01-02,15:15,31.8,kWh
"Electric Usage",G159732081-1,2024-01-02,15:30,31.51,kWh
"Electric Usage",G159732081-1,2024-01-02,15:45,31.56,kWh
"Electric Usage",G159732081-1,2024-01-02,16:00,32.01,kWh
"Electric Usage",G159732081-1,2024-01-02,16:15,35.82,kWh
"Electric Usage",G159732081-1,2024-01-02,16:30,36.77,kWh
"Electric Usage",G159732081-1,2024-01-02,16:45,35.41,kWh
"Electric Usage",G159732081-1,2024-01-02,17:00,36.46,kWh
"Electric Usage",G159732081-1,2024-01-02,17:15,36.92,kWh
"Electric Usage",G159732081-1,2024-01-02,17:30,36.91,kWh
"Electric Usage",G159732081-1,2024-01-02,17:45,35.66,kWh
"Electric Usage",G159732081-1,2024-01-02,18:00,36.65,kWh
"Electric Usage",G159732081-1,2024-01-02,18:15,37.12,kWh
"Electric Usage",G159732081-1,2024-01-02,18:30,36.11,kWh
"Electric Usage",G159732081-1,2024-01-02,18:45,37.04,kWh
"Electric Usage",G159732081-1,2024-01-02,19:00,36.92,kWh
"Electric Usage",G159732081-1,2024-01-02,19:15,37.38,kWh
"Electric Usage",G159732081-1,2024-01-02,19:30,37.28,kWh
"Electric Usage",G159732081-1,2024-01-02,19:45,37.42,kWh
"Electric Usage",G159732081-1,2024-01-02,20:00,37.88,kWh
"Electric Usage",G159732081-1,2024-01-02,20:15,37.11,kWh
"Electric Usage",G159732081-1,2024-01-02,20:30,36.27,kWh
"Electric Usage",G159732081-1,2024-01-02,20:45,36.81,kWh
"Electric Usage",G159732081-1,2024-01-02,21:00,36.75,kWh
"Electric Usage",G159732081-1,2024-01-02,21:15,37.96,kWh
"Electric Usage",G159732081-1,2024-01-02,21:30,36.48,kWh
"Electric Usage",G159732081-1,2024-01-02,21:45,36.91,kWh
"Electric Usage",G159732081-1,2024-01-02,22:00,37.31,kWh
"Electric Usage",G159732081-1,2024-01-02,22:15,37.3,kWh
"Electric Usage",G159732081-1,2024-01-02,22:30,36.8,kWh
"Electric Usage",G159732081-1,2024-01-02,22:45,36.67,kWh
"Electric Usage",G159732081-1,2024-01-02,23:00,36.6,kWh
"Electric Usage",G159732081-1,2024-01-02,23:15,36.88,kWh
"Electric Usage",G159732081-1,2024-01-02,23:30,37.72,kWh
"Electric Usage",G159732081-1,2024-01-02,23:45,37.19,kWh
"Electric Usage",G159732081-1,2024-01-03,00:00,36.78,kWh
"Electric Usage",G159732081-1,2024-01-03,00:15,37.48,kWh
"Electric Usage",G159732081-1,2024-01-03,00:30,36.65,kWh
"Electric Usage",G159732081-1,2024-01-03,00:45,37.97,kWh
"Electric Usage",G159732081-1,2024-01-03,01:00,37.13,kWh
"Electric Usage",G159732081-1,2024-01-03,01:15,37.69,kWh
"Electric Usage",G159732081-1,2024-01-03,01:30,36.33,kWh
"Electric Usage",G159732081-1,2024-01-03,01:45,37.5,kWh
"Electric Usage",G159732081-1,2024-01-03,02:00,37.4,kWh
"Electric Usage",G159732081-1,2024-01-03,02:15,37.58,kWh
"Electric Usage",G159732081-1,2024-01-03,02:30,38.9,kWh
"Electric Usage",G159732081-1,2024-01-03,02:45,37.11,kWh
"Electric Usage",G159732081-1,2024-01-03,03:00,37.56,kWh
"Electric Usage",G159732081-1,2024-01-03,03:15,37.17,kWh
"Electric Usage",G159732081-1,2024-01-03,03:30,37.77,kWh
"Electric Usage",G159732081-1,2024-01-03,03:45,37.63,kWh
"Electric Usage",G159732081-1,2024-01-03,04:00,38.11,kWh
"Electric Usage",G159732081-1,2024-01-03,04:15,37.95,kWh
